['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 675)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 53)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 45)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 43)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 39)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 37)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 33)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 30)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 30)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 30)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 29)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 29)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 28)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 28)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 28)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 27)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 24)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 23)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 23)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 22)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 21)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 21)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 21)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 21)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 21)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 21)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 21)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 21)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 21)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 21)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 21)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 20)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 19)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 19)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 19)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 19)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 19)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 19)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 19)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 19)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 18)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 18)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 18)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 18)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 18)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 18)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 18)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 18)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 17)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 17)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 17)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 16)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 16)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 16)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 15)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 15)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 15)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 15)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 14)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 14)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 13)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 13)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 13)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 13)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 12)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 12)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 12)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 12)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 12)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 12)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 12)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 12)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 12)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 12)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 12)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 12)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 11)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 10)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 9)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 8)]
